timestamp,subscription,upgrade,age,gender,location,digitalfluency,os,nps,churn,supporttickets,competitormention,notification_settings,notification_dismissal,uninstall,delete_falsepop,silent_mode,subscription_plan,manual_scan,help,secure_browser,clean_now,parental_control,privacy_settings,scan_now,diagnostic_tool,vpn_toggle,tenure
25/03/2011,basic,yes,27,m,Germany,Intermediate,Mac,0,1,2,7,3288,11338,1674,12934,337,7127,48,13603,3069,20589,13764,12273,2308,6008,137,11
27/11/2017,trial,no,54,m,Spain,Intermediate,Windows,4,1,8,34,8386,2595,3244,7646,192,5506,5541,69,8545,2714,31,23350,17203,14606,7634,5
16/07/2022,premium,yes,34,m,Spain,Basic,Linux,1,1,4,74,859,7890,42,3615,1252,2986,2349,4104,353,14365,30,7672,11027,7093,2727,0
10/05/2022,basic,no,23,m,France,Basic,Linux,8,0,1,13,5574,1281,13947,7799,5520,10857,1855,12545,1291,10702,20616,10031,23835,12656,904,0
17/02/2017,basic,no,64,m,Spain,Intermediate,Linux,3,1,23,70,101,8982,1975,9127,873,17519,541,9520,802,3849,43,1599,2126,24379,196,5
07/01/2017,trial,yes,48,f,Spain,Intermediate,Linux,7,1,21,29,11904,6583,2326,1631,7117,1035,730,16380,6442,833,15098,21504,24635,12216,10119,5
25/05/2017,premium,no,47,f,Germany,Intermediate,Windows,4,1,4,18,230,5166,1221,3888,1105,3804,39,5057,16635,2554,11783,1423,50,530,5571,5
19/06/2019,trial,no,63,m,France,Advanced,Linux,9,1,11,13,33,6346,5879,9540,5141,4760,13687,698,600,17976,563,9793,10659,6545,7224,3
14/07/2017,basic,yes,60,f,Spain,Intermediate,Mac,7,0,0,30,4295,7029,11081,3129,3010,6112,2025,1102,2244,5764,4241,17815,25055,949,796,5
29/07/2016,basic,no,60,f,Spain,Intermediate,Linux,0,1,0,22,128,1223,13357,455,13863,2505,627,661,3877,4775,6948,16312,1585,18655,2344,6
03/12/2016,basic,no,37,m,Spain,Intermediate,Mac,0,0,1,95,1663,7014,8523,6207,4765,15276,368,1981,1094,3891,14104,7822,65,75,2918,6
14/09/2010,premium,yes,48,m,France,Intermediate,Windows,0,1,4,74,8366,1737,589,1518,13614,7979,775,12291,10608,73,7747,421,4155,20525,1545,12
10/02/2017,basic,no,53,m,Germany,Intermediate,Windows,6,0,0,8,3166,383,1887,14735,1221,2092,154,1815,468,640,434,1030,9323,16590,1316,5
05/03/2014,trial,yes,55,f,Spain,Intermediate,Mac,1,1,0,44,10151,12344,13890,6034,1257,1122,13061,2716,4171,17050,1314,34,31,14861,3810,8
02/02/2011,basic,yes,64,m,Spain,Intermediate,Mac,10,1,0,1,794,10110,6750,12573,8547,11267,16907,549,21117,1862,20615,11467,3358,1937,11059,11
08/12/2013,basic,no,49,f,France,Intermediate,Mac,1,1,14,19,8213,6483,6971,5910,11190,2449,6208,4845,2096,11497,757,900,105,5252,3409,9
21/10/2018,basic,yes,51,m,Spain,Basic,Linux,1,0,15,11,468,1911,6863,2120,13640,10465,1371,13363,8850,2612,9276,8738,5916,13723,3570,4
11/04/2013,basic,yes,39,m,Spain,Intermediate,Mac,7,0,0,6,3751,41,70,2679,11947,5222,2629,421,2701,4596,214,493,10620,18404,107,9
02/09/2011,trial,yes,31,m,Spain,Intermediate,Mac,5,1,4,8,438,7497,7521,2658,574,8931,2547,12179,4816,8470,950,1734,1499,5824,11433,11
05/08/2016,basic,no,54,f,Germany,Intermediate,Mac,4,0,11,0,6939,11540,560,1029,10188,2208,7048,8698,8836,12109,13843,3767,5057,21344,8589,6
24/09/2016,trial,yes,38,f,Spain,Intermediate,Linux,7,1,11,6,723,3190,6279,7804,2403,924,16089,1342,34,30,1198,16998,4980,4991,119,6
04/10/2011,basic,yes,61,m,Spain,Intermediate,Linux,6,1,3,20,1171,1186,4167,1484,4346,206,128,442,4235,5434,19289,578,10100,9742,2678,11
25/10/2018,premium,yes,45,f,Germany,Advanced,Mac,7,1,19,20,1822,9243,10493,3468,7417,17070,10989,5864,1103,927,7057,13396,867,3794,10532,4
07/08/2017,basic,no,51,m,France,Advanced,Windows,8,1,0,55,1664,1600,2421,6455,1090,11992,4902,2580,19063,2017,2400,2935,3239,15877,2302,5
11/05/2016,basic,no,24,m,France,Advanced,Mac,3,1,4,1,6679,4762,54,30,10768,11280,2858,1898,9716,4638,287,13706,18228,7248,10621,6
17/11/2011,trial,yes,31,f,France,Intermediate,Linux,0,1,1,56,10546,5999,9906,8755,6748,2560,13552,9314,13232,14462,33,10506,3908,2811,105,11
16/01/2018,basic,no,60,m,Spain,Intermediate,Linux,6,0,0,6,6689,667,3855,14669,15912,10838,17609,14354,4232,8889,1731,7138,2957,25464,109,4
15/12/2012,basic,no,43,f,Spain,Basic,Linux,4,1,12,39,441,300,4125,13553,10538,3104,773,6884,3788,9518,3079,8665,2769,14834,10942,9
28/12/2015,basic,no,64,m,Spain,Intermediate,Linux,2,0,1,34,129,8873,3932,313,1743,9239,2556,361,4700,9956,2395,21073,4158,294,202,6
25/01/2016,basic,no,45,f,France,Intermediate,Linux,1,0,3,20,438,11302,341,6531,13906,550,7228,6644,1215,1105,761,22038,11175,27224,31,6
24/09/2016,premium,yes,50,m,Germany,Basic,Mac,6,1,0,14,9190,1554,10565,67,1454,2110,14451,111,6526,91,5146,151,8593,1747,3899,6
22/08/2018,trial,yes,24,f,Spain,Intermediate,Mac,3,1,12,76,6216,11030,14034,159,3365,466,16364,9329,16050,11895,20546,16280,19301,12516,3631,4
07/05/2015,premium,yes,62,f,Germany,Intermediate,Windows,3,1,19,13,4918,50,1614,806,9022,17103,12946,16348,19618,2494,42,2064,42,4499,161,7
25/10/2016,trial,no,32,f,Spain,Basic,Mac,1,1,23,25,6100,3817,1625,1555,2450,15911,10927,10080,12090,12244,8574,5098,4790,25005,299,6
29/09/2013,basic,yes,44,f,Spain,Intermediate,Mac,9,1,25,52,3747,7177,5087,5825,4693,3343,16999,5069,6815,3286,3085,104,24685,21556,3671,9
21/05/2011,basic,no,27,f,Spain,Intermediate,Linux,6,1,14,66,75,8376,117,857,11627,17874,549,5892,2252,1274,11500,12791,20481,11751,3591,11
12/07/2018,basic,no,44,m,Germany,Advanced,Mac,6,1,0,1,4775,7928,31,1267,3541,11781,1392,4339,20396,4325,2163,3683,815,922,9631,4
07/11/2019,basic,no,47,f,Spain,Basic,Linux,9,0,9,14,9447,6496,2340,2973,15019,6778,1712,744,4066,20979,16663,128,3902,27373,4900,3
21/05/2016,trial,no,46,m,Spain,Intermediate,Mac,2,1,2,3,369,4346,3484,8034,16137,61,1317,8745,16247,1234,448,8483,79,4311,296,6
21/06/2021,trial,yes,56,f,Spain,Basic,Mac,10,1,3,5,3079,3978,1800,42,7463,9540,17309,12670,12054,2381,18803,46,20702,2956,6936,1
17/08/2012,basic,no,54,f,Spain,Intermediate,Linux,1,1,0,93,4252,7652,47,3760,834,12632,7580,118,5586,4694,2738,20143,583,11065,711,10
20/05/2017,basic,no,56,f,Spain,Intermediate,Linux,5,0,12,22,36,120,6384,30,1275,1640,805,19376,18643,11309,1429,5077,8861,17797,10744,5
02/10/2018,basic,yes,48,f,Spain,Intermediate,Mac,10,1,9,94,4189,6342,14072,14953,4988,306,11969,32,30,3027,397,24732,25456,752,1141,4
23/07/2010,basic,yes,46,f,Spain,Intermediate,Linux,2,0,25,93,6931,1820,76,2106,796,11051,4081,16541,674,19080,4496,19430,103,27301,918,12
06/04/2015,premium,yes,41,f,Spain,Basic,Mac,4,1,0,38,498,6712,7365,40,2000,17192,1177,662,10485,20833,39,663,26354,25034,238,7
16/10/2011,basic,no,37,m,Spain,Intermediate,Linux,6,0,11,1,9780,2078,2669,1967,1127,16839,12725,6836,11985,8085,8489,7751,836,24486,3205,11
20/09/2017,premium,yes,36,f,Spain,Intermediate,Linux,5,1,0,97,3775,9867,6680,14779,138,206,10878,16209,12849,13235,579,9439,21900,3056,2264,5
17/11/2011,premium,yes,31,m,Spain,Intermediate,Linux,3,1,5,37,2907,226,3163,538,2695,622,3833,8429,14828,11633,10995,19282,13404,11792,72,11
17/04/2015,trial,yes,49,f,Spain,Intermediate,Windows,0,1,22,0,1730,4740,192,130,13260,3064,11415,3954,14219,2615,509,15252,148,21105,11360,7
06/10/2016,trial,no,31,f,Spain,Basic,Linux,2,1,0,18,2234,195,9914,7102,11645,432,158,2113,18211,8930,1303,12084,19321,26866,3614,6
09/09/2011,basic,yes,23,f,Spain,Intermediate,Linux,2,1,0,4,1557,10550,6110,6755,3925,7444,8651,3973,19174,19591,11041,2585,1226,11174,3390,11
06/06/2021,basic,no,61,m,France,Intermediate,Linux,2,1,6,6,4655,322,1159,14512,894,4418,15365,12579,4135,2947,134,12233,3593,5824,3994,1
07/05/2019,trial,yes,59,m,France,Intermediate,Mac,10,1,11,60,6182,169,3635,3441,328,6713,10320,1337,2265,6494,2936,12467,4078,14634,3191,3
30/01/2019,premium,yes,59,f,Spain,Intermediate,Mac,2,1,8,72,131,1731,2317,10524,93,277,7221,1753,7878,6133,3349,177,9185,18603,237,3
25/04/2010,basic,no,58,f,Spain,Intermediate,Linux,9,0,20,28,101,40,215,2951,4142,4240,16255,10895,15469,3568,2744,3991,68,1217,6538,12
07/05/2013,basic,no,23,f,Spain,Intermediate,Mac,3,1,1,40,5978,5699,963,220,34,361,2291,4696,10598,7734,10217,2454,3189,1588,2783,9
10/08/2021,premium,yes,40,m,Spain,Intermediate,Linux,3,1,19,59,296,7662,8276,427,3747,918,122,13561,315,7460,763,20311,85,7193,1213,1
26/09/2017,trial,no,30,f,Germany,Advanced,Mac,6,1,1,29,6212,703,359,12940,7130,1377,3420,437,1670,56,2295,2595,9710,3065,7012,5
06/10/2018,trial,yes,61,f,France,Basic,Windows,8,1,9,3,284,4236,70,3104,54,9100,3159,1470,14398,4547,944,8235,13055,8541,10767,4
13/08/2019,basic,no,63,m,Germany,Intermediate,Linux,5,1,1,36,354,103,7860,112,11483,7502,1141,2039,15097,15318,4050,10442,16854,22341,342,3
27/11/2015,basic,no,43,m,Germany,Intermediate,Mac,3,1,11,36,9408,3809,12242,11590,1861,13731,114,2933,17174,236,63,13803,5837,20270,4343,7
09/03/2019,premium,yes,58,f,Spain,Basic,Windows,8,1,0,49,142,1824,11170,917,237,17778,8957,2254,115,22257,3009,15488,9166,263,37,3
14/02/2021,trial,yes,39,m,France,Intermediate,Linux,10,1,1,9,4465,60,59,762,371,5796,12415,4414,11193,8384,3976,13795,9988,13262,4117,1
01/12/2019,trial,yes,65,m,France,Intermediate,Windows,4,1,2,39,11634,12677,5195,4992,477,13651,14560,2690,13189,20787,3806,1634,18749,4558,617,3
30/01/2013,basic,no,27,f,France,Basic,Mac,0,1,20,9,8716,932,3647,466,6410,1463,168,1408,317,5791,6074,19315,22364,256,34,9
11/04/2013,premium,no,47,f,Spain,Intermediate,Linux,5,1,1,23,8673,11790,6053,7365,2720,79,2067,17338,13440,1563,1000,8947,2637,58,8603,9
29/01/2015,premium,no,63,f,Spain,Basic,Mac,3,1,24,70,1434,12889,12107,8816,12098,206,10403,2200,14658,11314,12877,1937,10464,22688,2503,7
15/12/2013,basic,yes,37,f,Germany,Basic,Mac,0,1,4,0,3617,5016,4505,14598,74,452,701,9668,4620,1761,18456,1648,4642,8490,680,8
30/04/2013,basic,no,51,m,Spain,Intermediate,Mac,3,1,0,46,132,1137,6575,11716,64,549,14923,7282,17533,17490,5689,13247,62,638,10493,9
15/02/2022,premium,yes,58,f,Spain,Intermediate,Windows,2,1,8,5,3337,2818,57,4857,1282,31,13824,566,7043,248,10496,21171,8920,4265,4854,0
13/04/2013,basic,no,54,f,Spain,Intermediate,Linux,8,0,3,43,1204,12415,33,4630,1475,3878,1734,10207,574,4677,3149,4540,8521,22925,5973,9
10/11/2022,basic,yes,25,f,Spain,Advanced,Mac,4,1,1,24,526,462,288,3832,7986,218,4438,15254,304,17435,58,17723,26058,3092,1320,0
27/09/2015,basic,yes,35,f,France,Intermediate,Linux,5,0,11,13,1783,2671,11604,11241,11665,14825,18428,4746,8743,3539,1003,14654,17912,475,10025,7
07/02/2021,basic,no,47,f,France,Intermediate,Linux,2,1,19,3,3611,3135,5657,5122,491,2898,2588,1625,12001,19318,2215,187,11183,935,6057,1
27/03/2016,trial,yes,50,f,France,Advanced,Windows,0,1,2,48,2259,1657,5078,14401,3139,5369,4596,14490,8674,40,19696,52,1916,31,1399,6
27/11/2010,basic,no,23,m,Spain,Intermediate,Linux,9,1,5,84,1726,1855,10367,2626,2456,138,5035,8507,2879,1813,6180,1012,17978,162,11398,12
06/03/2019,premium,yes,29,f,France,Intermediate,Mac,4,1,0,27,6482,1624,11226,6957,4179,15728,1590,6516,14037,152,11704,21875,209,85,4404,3
05/05/2012,trial,yes,28,f,France,Basic,Windows,2,1,3,39,112,9848,7119,1983,1466,2771,18351,17616,14460,3724,15091,1771,369,18516,859,10
17/05/2011,trial,yes,33,f,Germany,Advanced,Windows,8,1,8,40,4919,6282,686,5027,791,8033,3300,14941,14427,7164,14084,350,21457,22424,1522,11
14/07/2015,basic,yes,37,m,Germany,Intermediate,Mac,4,1,6,14,5823,2400,11793,6644,10501,5674,1250,11491,697,576,3248,1186,7291,24520,6552,7
17/10/2012,basic,yes,26,m,France,Intermediate,Linux,8,1,3,4,186,4273,8321,4827,12800,4290,7186,5714,1263,5642,159,14503,1790,19141,2535,10
24/07/2019,basic,no,52,m,Spain,Intermediate,Linux,3,1,1,41,4853,12002,7814,10348,6010,1310,12644,5384,10894,3019,17528,13538,16321,22612,8432,3
04/08/2019,trial,yes,58,m,Germany,Intermediate,Mac,3,1,1,77,8184,221,7545,32,4969,984,13608,126,4839,14885,476,4475,16284,9577,1237,3
05/01/2021,basic,no,62,f,Spain,Intermediate,Linux,5,1,25,34,8312,1750,10919,14361,8925,9400,3919,15047,58,11178,1744,30,9477,7152,3653,1
17/10/2015,trial,no,36,m,France,Intermediate,Linux,5,1,16,5,345,11379,34,8685,5176,9538,17272,4546,20702,48,22771,11967,5524,17473,3356,7
12/08/2017,basic,no,58,f,Spain,Intermediate,Linux,2,0,0,48,3221,9195,7364,5876,6686,2343,34,51,14739,2959,4963,1420,219,14703,1744,5
11/12/2014,premium,yes,48,m,Spain,Intermediate,Mac,8,1,0,71,1305,8337,61,4806,47,14034,4490,47,5165,4072,12619,34,13613,1287,32,8
24/01/2016,basic,no,62,m,Germany,Basic,Windows,4,0,0,96,9220,162,11216,7413,31,491,15899,3683,9590,87,9652,1262,6580,3465,92,6
24/04/2017,trial,no,36,m,France,Intermediate,Windows,1,1,0,93,72,7750,10369,14133,1748,3810,38,414,5173,21598,3108,1497,15647,24698,1452,5
02/03/2018,basic,yes,27,f,Spain,Intermediate,Linux,10,0,0,1,30,7135,13787,9176,174,2365,2222,12234,12502,6536,3010,5088,4801,883,5034,4
28/06/2016,basic,no,52,m,Germany,Advanced,Windows,3,1,20,1,330,2690,845,10631,11959,2705,117,5490,5670,12248,17357,7637,17430,24519,7525,6
22/01/2022,basic,yes,40,f,Spain,Intermediate,Windows,8,1,0,66,448,1019,2628,1662,519,8746,2031,473,6370,1839,9281,3152,17485,449,959,0
29/04/2014,premium,no,45,m,France,Intermediate,Linux,10,1,1,52,1730,860,4437,13618,7754,11452,9477,11114,12362,18346,2477,5945,17689,11784,267,8
24/02/2022,premium,yes,34,f,France,Intermediate,Mac,2,1,3,28,275,399,7556,334,12717,4693,3600,10311,10187,47,3627,22944,11205,2138,477,0
16/02/2020,trial,yes,65,m,France,Advanced,Linux,2,0,7,82,7088,12635,314,986,9560,2716,10829,554,1024,83,505,3406,2433,64,1947,2
12/03/2012,basic,no,53,m,Germany,Intermediate,Mac,0,1,4,15,719,251,8716,3640,11415,2661,2728,10078,5061,9299,21192,329,9637,919,973,10
20/11/2016,premium,yes,45,f,Spain,Intermediate,Linux,8,1,0,27,6882,8963,3540,15053,13991,16581,78,15348,6332,16750,22581,5320,9327,10635,698,6
06/10/2015,premium,no,54,f,Germany,Intermediate,Mac,3,1,14,6,47,9040,8981,1724,1697,258,1756,3423,11344,3352,4447,14428,24997,13717,738,7
07/02/2013,premium,no,46,m,Germany,Intermediate,Linux,4,1,11,19,1213,4832,9128,8941,9370,16104,4341,1557,4760,22100,9959,814,1650,10992,4224,9
27/02/2020,trial,yes,27,m,Spain,Intermediate,Windows,0,1,9,63,2284,686,8770,212,6512,2962,7670,11988,14573,75,17897,2805,14991,16565,1565,2
29/03/2012,basic,yes,22,m,Spain,Basic,Linux,8,0,9,67,1968,30,13061,785,5564,12170,16794,13800,4838,360,6146,10113,47,4259,2731,10
01/05/2017,premium,no,48,f,Spain,Intermediate,Mac,0,1,0,52,4070,11473,13461,11148,13784,13759,8232,5522,3564,431,4461,260,16637,15978,198,5
18/06/2022,basic,no,24,f,Spain,Advanced,Linux,5,1,1,9,1579,10278,425,43,162,6706,3487,7935,2013,10209,7301,9459,6197,23537,1525,0
22/11/2017,basic,yes,49,f,Spain,Basic,Linux,0,0,0,1,10427,13143,2999,8274,10978,11843,139,13949,9105,14425,23801,10252,821,839,9669,5
03/12/2013,trial,yes,42,f,Spain,Intermediate,Mac,3,1,7,2,765,2571,2795,6846,4031,9361,9351,13045,10822,886,10754,916,1063,17903,8364,9
10/10/2022,basic,yes,27,m,Spain,Basic,Linux,9,1,0,6,70,9004,3014,15046,333,12645,32,16120,6378,12279,16501,1105,6895,10255,3960,0
29/01/2019,trial,no,64,f,France,Basic,Mac,4,1,0,46,173,6676,1377,30,45,64,17518,3563,2328,316,18046,22565,12749,2402,542,3
22/02/2017,basic,yes,58,f,Spain,Intermediate,Linux,4,0,4,25,1952,11588,632,825,8103,7497,12777,2116,717,131,8536,54,4465,11072,2834,5
01/12/2011,trial,no,64,f,Germany,Intermediate,Windows,0,1,2,15,7243,5253,10572,3112,4578,13454,17706,59,19191,1890,7917,7232,1044,17423,6426,11
01/02/2011,basic,yes,35,m,Spain,Intermediate,Linux,9,1,9,49,42,4846,231,8684,2113,7715,5495,18283,11478,1871,15751,15149,5922,1256,5322,11
03/10/2012,premium,yes,55,f,Spain,Intermediate,Linux,2,1,0,41,757,7659,10409,13485,3816,10756,7155,15558,2035,134,4099,14197,21952,4019,3946,10
02/12/2018,basic,no,37,f,Germany,Intermediate,Windows,4,1,23,22,2064,4749,1559,14676,1296,3416,13219,55,4825,21089,9629,2525,12440,6429,121,4
22/03/2018,basic,no,31,m,Spain,Intermediate,Linux,7,0,9,15,1020,2692,4849,81,870,2287,4141,3465,5031,10026,1298,15040,2899,1301,255,4
18/01/2011,basic,yes,32,f,Germany,Intermediate,Mac,2,1,21,29,1521,1831,12876,5422,14074,1629,1482,1030,4823,1213,18815,6904,4986,4134,4782,11
28/04/2013,basic,yes,59,f,Germany,Intermediate,Windows,0,1,8,45,2074,485,750,73,4080,4128,674,218,242,13640,62,16923,14539,8334,3050,9
08/06/2018,trial,no,54,m,Spain,Advanced,Linux,8,1,0,0,9449,8103,874,15178,11367,7049,2725,7070,7480,6705,1674,13901,5260,26556,6737,4
25/05/2016,basic,no,31,f,Spain,Intermediate,Linux,3,0,7,1,193,9030,5234,54,8593,14162,12582,11850,21266,14089,382,3947,13634,26670,1668,6
15/12/2020,trial,yes,39,m,France,Intermediate,Windows,3,1,8,26,236,8475,3559,502,12552,642,6041,11727,4391,12138,14300,2428,17045,22893,4896,1
02/10/2017,basic,no,40,m,Germany,Intermediate,Windows,3,1,22,8,8434,4156,2377,11316,16022,6698,3659,3625,937,329,529,21779,7526,5499,231,5
02/09/2020,premium,no,59,m,Spain,Basic,Mac,0,1,0,3,8053,123,9324,30,502,13042,818,9962,19428,17980,20578,21495,10760,5823,9698,2
05/05/2022,basic,no,55,f,Spain,Intermediate,Linux,2,1,16,23,1871,1033,12774,1078,9793,16888,8045,7416,30,466,230,22306,2900,8608,30,0
22/05/2017,basic,yes,56,f,Spain,Advanced,Mac,1,0,3,67,3147,1353,8045,3618,9672,9302,1815,10470,382,10785,1081,1441,780,6105,5637,5
11/02/2012,trial,no,60,m,France,Intermediate,Mac,1,1,0,3,1316,607,6764,788,4574,1353,2781,1416,12729,1599,15568,62,9491,2032,6095,10
22/02/2015,basic,no,50,m,Spain,Intermediate,Mac,10,0,11,16,2006,4406,2599,10545,7704,1209,795,2226,1167,12775,10849,14627,74,17504,4288,7
17/04/2012,basic,no,59,m,Spain,Advanced,Mac,3,0,7,0,712,11398,12962,111,205,4620,707,4861,6749,6269,78,18379,24866,19850,1200,10
25/11/2011,trial,no,27,f,Spain,Intermediate,Windows,4,1,0,63,369,2022,10639,338,4688,1196,18615,144,5981,970,1230,24948,3518,26423,2988,11
28/04/2014,basic,no,37,f,France,Basic,Linux,4,1,7,17,11546,1925,9959,467,247,1237,10602,1293,188,410,15989,10963,1624,4295,10582,8
21/09/2016,trial,yes,62,f,Germany,Advanced,Windows,7,1,0,54,4136,5635,187,857,1786,4722,12593,1142,9076,11044,13966,15626,34,100,11432,6
25/07/2013,trial,no,42,m,Germany,Intermediate,Windows,6,1,1,12,2383,1721,4595,1390,11531,3161,335,12612,6122,3908,5889,18797,1646,14649,411,9
05/03/2022,basic,yes,41,f,Germany,Basic,Linux,6,0,0,40,7622,4773,10357,8618,791,154,3591,7246,1975,11292,10671,1889,50,12449,4820,0
14/09/2018,trial,yes,51,f,Spain,Intermediate,Mac,9,1,22,10,847,2916,1303,4228,5080,3575,12101,1637,4196,58,2898,16886,8063,2546,4711,4
30/04/2019,basic,no,40,f,Spain,Basic,Mac,6,0,7,45,1283,185,7152,9024,14429,814,4144,1015,34,579,7971,10851,5334,7951,3038,3
11/04/2020,trial,yes,32,f,France,Advanced,Linux,0,1,0,50,133,353,13566,468,1163,808,2504,1463,9459,1923,877,20110,3583,14542,2657,2
26/01/2015,premium,no,40,m,Spain,Advanced,Linux,6,1,21,1,890,4896,647,930,4143,10095,225,326,5799,2612,5792,2679,10194,25376,10459,7
07/09/2020,trial,yes,39,m,France,Advanced,Windows,2,1,2,26,159,85,81,678,10122,7502,749,2071,2301,16783,60,5037,25989,25962,1721,2
18/07/2012,trial,yes,41,f,Spain,Intermediate,Linux,9,1,1,68,10637,11468,1127,1841,771,14233,16830,1302,95,351,284,4291,2643,8109,5409,10
04/04/2010,premium,no,29,m,Germany,Intermediate,Windows,3,1,0,0,3257,6545,13903,292,4422,823,5764,542,403,3901,18006,30,23644,19456,4155,12
21/06/2011,basic,no,46,m,Spain,Advanced,Mac,7,0,11,40,40,12494,3857,3556,1907,80,6578,16966,6494,7816,34,9245,9878,27185,3657,11
09/10/2019,premium,no,46,m,Spain,Advanced,Mac,6,1,22,64,4967,12677,11233,12044,12863,12109,4702,20369,595,22749,11030,4494,11443,25064,5862,3
22/09/2013,basic,yes,35,m,Germany,Intermediate,Mac,8,1,2,11,1648,4658,14220,6773,13447,3458,331,1266,17663,2642,7383,14212,5151,7986,11567,9
03/03/2022,basic,yes,38,f,Spain,Intermediate,Mac,1,1,1,6,3350,10677,3321,146,14906,848,7796,2848,12145,89,4728,14361,18008,46,10118,0
09/05/2017,basic,no,35,m,Germany,Intermediate,Linux,10,0,19,60,939,3207,3475,1627,2245,1388,18463,6093,17014,344,11244,12372,18452,363,4564,5
10/04/2011,premium,yes,49,f,Spain,Intermediate,Linux,6,1,0,29,348,453,3606,6629,1587,86,3602,17951,401,9719,14853,938,316,3091,106,11
11/06/2011,trial,yes,39,m,Spain,Advanced,Mac,2,1,0,12,345,1364,694,913,815,15108,1271,113,16054,12275,699,23474,2859,16537,3570,11
03/01/2019,basic,yes,42,f,Germany,Basic,Windows,4,1,0,4,7684,12082,8826,8446,358,112,822,8204,14824,4249,23818,10235,2817,2381,815,3
06/04/2019,basic,yes,51,f,France,Intermediate,Linux,9,1,4,60,333,4073,10570,7133,11435,7235,2276,19849,63,676,5582,4702,12824,362,10802,3
12/10/2012,basic,no,39,f,France,Intermediate,Linux,2,1,9,5,11728,10348,181,1421,2735,1468,6058,15958,16737,12825,93,6560,18508,8516,3847,10
14/04/2022,premium,yes,39,m,Germany,Intermediate,Windows,10,1,9,0,2900,386,1237,356,85,984,18617,13895,15287,30,8473,54,22789,761,9975,0
29/05/2011,trial,yes,23,m,Germany,Intermediate,Mac,6,1,1,2,30,4426,4836,975,13983,11654,1682,278,188,1221,1014,49,2455,10411,11848,11
28/12/2018,trial,no,39,m,France,Intermediate,Windows,4,1,10,15,2491,323,4478,3714,7515,10381,18348,13157,53,1064,8603,1191,7501,1356,464,3
24/12/2019,basic,no,29,f,Spain,Basic,Mac,0,1,19,44,800,6876,13305,13539,10369,2910,4747,4596,943,482,7480,11656,14134,444,3185,2
17/09/2020,basic,yes,25,f,Spain,Intermediate,Linux,2,0,2,36,89,4222,13360,8405,3346,3456,1316,1582,2151,17325,4075,76,1216,140,4221,2
01/12/2013,basic,no,30,f,Spain,Basic,Linux,2,1,1,78,490,2688,5114,13336,38,3480,539,6060,366,4583,3965,8402,8723,663,7088,9
21/05/2015,trial,no,23,m,France,Basic,Mac,7,1,5,0,621,34,531,11448,16030,649,245,3661,19787,15841,13698,361,16394,2178,11737,7
30/12/2010,premium,yes,60,f,Germany,Intermediate,Windows,4,1,1,12,2375,6063,131,10665,3363,9688,5095,6498,4619,9191,103,2907,15159,662,3273,11
25/04/2018,trial,yes,62,m,Germany,Intermediate,Windows,8,1,13,77,64,8996,1463,13569,2007,2289,89,7457,20440,10901,2165,16648,18137,13567,1222,4
13/01/2018,basic,no,59,f,France,Basic,Linux,10,0,1,70,524,3801,10819,7011,13586,1372,237,82,590,11099,14967,19142,356,6429,103,4
14/10/2022,trial,yes,30,m,France,Basic,Mac,6,1,7,0,9357,2709,9088,10341,290,3096,15833,30,5872,82,1087,10690,13373,30,3491,0
07/12/2013,basic,yes,52,m,Spain,Intermediate,Mac,5,0,2,84,8185,2952,12285,773,9416,3746,17176,8198,18460,1642,1213,439,808,2443,6283,9
